#ZVView-data-copy:  25-Feb-2022 14:35:22
#=======================================
#
#name:   ENDF/B-VII.1: HE-3(T,D)HE-4
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  259
#data...
#            X            Y
#          MeV        barns
      0.000100  0.000000+00
      0.000500  0.000000+00
      0.001000  0.000000+00
      0.002000  2.814100-31
      0.004000  8.363600-22
      0.006000  1.191100-17
      0.008000  3.401800-15
      0.010000  1.569300-13
      0.012000  2.607100-12
      0.014000  2.286200-11
      0.016000  1.303300-10
      0.018000  5.469100-10
      0.020000  1.829200-09
      0.025000  1.894800-08
      0.030000  1.044400-07
      0.035000  3.882700-07
      0.040000  1.107600-06
      0.045000  2.618100-06
      0.050000  5.385600-06
      0.060000  1.696100-05
      0.070000  4.075700-05
      0.080000  8.169000-05
      0.090000  1.439800-04
      0.100000  2.308100-04
      0.120000  4.850300-04
      0.140000  8.482700-04
      0.160000  1.312200-03
      0.180000  1.861700-03
      0.200000  2.479100-03
      0.220000  3.146900-03
      0.240000  3.849000-03
      0.260000  4.571900-03
      0.280000  5.304300-03
      0.300000  6.037400-03
      0.350000  7.832300-03
      0.400000  9.527000-03
      0.450000  1.109500-02
      0.500000  1.253200-02
      0.550000  1.384200-02
      0.600000  1.503400-02
      0.700000  1.710600-02
      0.800000  1.881900-02
      0.900000  2.023000-02
      1.000000  2.138500-02
      1.100000  2.231400-02
      1.200000  2.304700-02
      1.300000  2.360600-02
      1.400000  2.401400-02
      1.500000  2.428900-02
      1.600000  2.445000-02
      1.700000  2.451500-02
      1.800000  2.450100-02
      1.900000  2.442100-02
      2.000000  2.428900-02
      2.100000  2.411700-02
      2.200000  2.391400-02
      2.300000  2.369100-02
      2.400000  2.345300-02
      2.500000  2.320900-02
      3.000000  2.205200-02
      3.500000  2.128300-02
      4.000000  2.174000-02
      4.500000  2.233800-02
      5.000000  2.295800-02
      6.000000  2.425100-02
      7.000000  2.558800-02
      8.000000  2.693500-02
      9.000000  2.826200-02
     10.000000  2.953600-02
     11.000000  3.072500-02
     12.000000  3.179600-02
     13.000000  3.271700-02
     14.000000  3.345700-02
     15.000000  3.398300-02
     16.000000  3.426300-02
     17.000000  3.426500-02
     18.000000  3.395600-02
     19.000000  3.330500-02
     20.000000  3.228000-02
//
#-------------------------------------------------------------------------------
